SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,VOLUME
20MICRONS,20210907,54.5,54.5,52.6,53.15,42533
21STCENMGM,20210907,36.9,36.9,35.5,35.5,32346
3MINDIA,20210907,24500.0,24667.95,24120.0,24339.95,1896
3PLAND,20210907,13.8,14.0,13.35,13.75,4880
5PAISA,20210907,479.6,479.6,465.0,467.7,11978
63MOONS,20210907,98.0,98.05,94.15,94.9,34217
A2ZINFRA,20210907,4.4,4.4,4.25,4.25,203162
AAKASH,20210907,297.65,297.65,280.05,287.65,67308
AAREYDRUGS,20210907,38.4,38.9,37.55,37.7,26658
AARON,20210907,105.95,105.95,100.05,102.0,2776
AARTIDRUGS,20210907,624.45,624.45,611.0,612.25,105315
AARTIIND,20210907,917.0,917.6,903.0,904.65,597255
AARTISURF,20210907,1428.0,1428.0,1390.55,1404.15,9210
AARVEEDEN,20210907,18.5,19.0,18.2,18.4,16107
AARVI,20210907,59.0,59.0,57.25,57.55,9672
AAVAS,20210907,2422.15,2447.95,2399.0,2404.9,56713
ABAN,20210907,41.9,42.1,40.2,40.55,110643
ABB,20210907,1868.6,1899.0,1835.05,1870.3,238450
ABBOTINDIA,20210907,19771.4,19896.75,19520.1,19711.55,6915
ABCAPITAL,20210907,107.3,113.35,107.1,112.6,7050849
ABFRL,20210907,217.7,217.7,213.15,215.9,1589773
ABSLBANETF,20210907,362.95,364.32,360.18,363.0,382
ABSLNN50ET,20210907,437.0,437.0,429.45,430.95,106
ACC,20210907,2476.0,2494.0,2444.7,2483.5,322194
ACCELYA,20210907,1310.5,1315.1,1280.0,1290.05,24634
ACCURACY,20210907,141.0,151.7,136.5,141.55,419350
ACE,20210907,240.3,240.9,232.9,234.1,427742
ACRYSIL,20210907,640.0,640.0,621.05,624.25,42300
ADANIENT,20210907,1585.1,1592.35,1553.0,1558.1,1651169
ADANIGREEN,20210907,1120.0,1130.0,1080.0,1110.05,244582
ADANIPORTS,20210907,753.9,755.15,741.65,745.5,3515903
ADANIPOWER,20210907,95.3,96.0,93.1,93.1,2760591
ADANITRANS,20210907,1750.0,1750.0,1638.35,1694.25,285003
ADFFOODS,20210907,924.0,924.0,890.55,900.45,21043
ADL,20210907,41.85,41.85,39.8,39.9,419
ADORWELD,20210907,675.0,678.6,658.4,662.0,9794
ADROITINFO,20210907,9.7,9.95,9.1,9.75,2843
ADSL,20210907,69.4,70.5,67.0,67.8,197447
ADVANIHOTR,20210907,69.9,69.9,67.1,67.6,16239
ADVENZYMES,20210907,377.0,379.35,366.05,368.75,117960
AEGISCHEM,20210907,258.25,258.6,252.3,253.2,449121
AFFLE,20210907,4740.0,4790.0,4611.6,4673.2,19934
AGARIND,20210907,328.0,328.0,316.0,317.6,12297
AGCNET,20210907,1055.5,1055.5,1040.0,1055.5,3103
AGRITECH,20210907,54.45,55.05,52.8,55.05,17764
AGROPHOS,20210907,15.15,15.15,14.5,14.6,49343
AHLADA,20210907,158.5,160.9,154.1,155.15,16488
AHLEAST,20210907,175.0,190.0,175.0,181.15,3690
AHLUCONT,20210907,392.95,392.95,384.0,385.9,22927
AHLWEST,20210907,281.0,290.6,280.0,286.75,5801
AIAENG,20210907,2061.05,2100.0,2037.0,2064.8,97464
AIRAN,20210907,23.65,23.65,22.2,22.9,38317
AJANTPHARM,20210907,2218.0,2234.55,2175.2,2181.2,73248
AJMERA,20210907,393.0,395.1,393.0,395.1,19383
AJOONI,20210907,53.55,53.9,51.55,52.05,20685
AJRINFRA,20210907,1.5,1.5,1.5,1.5,488128
AKASH,20210907,177.8,177.8,169.2,171.4,27712
AKG,20210907,25.4,25.45,24.05,24.5,6769
AKSHARCHEM,20210907,450.25,455.0,435.7,437.4,28732
AKSHOPTFBR,20210907,8.55,8.8,8.05,8.45,393149
AKZOINDIA,20210907,2232.1,2264.35,2230.0,2244.4,14401
ALANKIT,20210907,15.6,15.65,15.3,15.3,193648
ALBERTDAVD,20210907,614.0,614.7,591.35,593.9,12762
ALEMBICLTD,20210907,112.9,113.6,110.0,110.45,352126
ALICON,20210907,813.95,842.9,791.45,831.75,27193
ALKALI,20210907,70.8,71.4,68.55,69.75,19335
ALKEM,20210907,3826.0,3860.0,3777.0,3787.4,76332
ALKYLAMINE,20210907,4117.0,4134.0,4045.65,4063.6,111929
ALLCARGO,20210907,234.35,234.35,226.85,231.5,649899
ALLSEC,20210907,464.0,467.9,452.5,455.0,5805
ALMONDZ,20210907,72.05,77.0,72.05,76.35,9045
ALOKINDS,20210907,24.45,24.6,23.15,23.3,12843083
ALPA,20210907,52.5,52.65,51.3,51.9,28055
ALPHAGEO,20210907,426.8,432.2,384.0,387.05,518402
ALPSINDUS,20210907,2.0,2.05,1.9,1.9,68489
AMARAJABAT,20210907,718.0,721.0,711.55,719.7,525753
AMBER,20210907,3195.0,3195.0,3103.5,3162.65,43844
AMBICAAGAR,20210907,16.0,16.0,15.5,15.6,14525
AMBIKCO,20210907,1600.0,1622.0,1576.8,1598.95,58689
AMBUJACEM,20210907,437.15,442.5,434.0,441.5,2060092
AMDIND,20210907,29.95,29.95,28.2,29.0,13061
AMJLAND,20210907,32.85,32.9,30.25,30.7,49246
AMRUTANJAN,20210907,724.4,733.3,712.15,717.35,75194
ANANTRAJ,20210907,65.95,67.4,64.8,66.75,336663
ANDHRACEMT,20210907,23.45,23.95,23.25,23.25,274844
ANDHRAPAP,20210907,227.05,229.6,223.0,225.85,11879
ANDHRSUGAR,20210907,535.0,536.95,525.3,531.45,25134
ANDREWYU,20210907,24.8,25.25,24.3,24.5,92270
ANGELBRKG,20210907,1228.0,1228.0,1188.0,1198.6,145903
ANIKINDS,20210907,18.9,19.0,18.55,18.7,4855
ANKITMETAL,20210907,1.9,1.95,1.85,1.85,23422
ANMOL,20210907,204.0,208.0,196.05,198.9,10254
ANSALAPI,20210907,9.45,9.6,9.15,9.5,546514
ANSALHSG,20210907,6.4,6.8,6.4,6.45,95761
ANUP,20210907,1000.0,1024.7,995.0,1006.2,14985
ANURAS,20210907,750.0,750.0,739.15,744.65,57061
APARINDS,20210907,650.0,659.95,641.0,644.85,47051
APCL,20210907,431.0,436.95,419.0,423.3,40167
APCOTEXIND,20210907,350.4,353.9,335.0,338.55,68012
APEX,20210907,271.2,276.6,270.95,272.6,58385
APLAPOLLO,20210907,1732.0,1774.9,1720.1,1764.95,368386
APLLTD,20210907,784.35,784.35,765.0,767.2,195661
APOLLO,20210907,114.85,115.0,113.0,113.35,78277
APOLLOHOSP,20210907,5020.4,5023.0,4860.0,4877.05,479021
APOLLOPIPE,20210907,1527.0,1527.0,1498.0,1510.9,28150
APOLLOTYRE,20210907,221.5,221.85,217.25,218.25,1529838
APOLSINHOT,20210907,807.0,828.6,786.55,804.05,1723
APTECHT,20210907,290.0,297.7,283.8,294.25,436908
APTUS,20210907,375.0,376.9,366.8,369.25,1462019
ARCHIDPLY,20210907,31.65,31.65,29.65,30.2,8899
