SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,VOLUME
20MICRONS,20210301,36.9,37.6,36.55,37.35,126886
21STCENMGM,20210301,11.95,11.95,11.95,11.95,2571
3IINFOTECH,20210301,6.3,6.45,6.05,6.45,7851294
3MINDIA,20210301,23175.0,24500.0,23174.9,24148.65,17103
3PLAND,20210301,9.15,9.95,9.15,9.55,13330
5PAISA,20210301,261.9,272.9,260.5,263.85,40788
63MOONS,20210301,79.0,83.5,79.0,80.85,92225
A2ZINFRA,20210301,4.2,4.3,4.1,4.15,226640
AAKASH,20210301,125.95,127.9,123.5,127.9,11058
AARON,20210301,62.0,63.0,56.6,58.7,8244
AARTIDRUGS,20210301,634.0,639.55,630.9,631.85,182237
AARTIIND,20210301,1236.0,1279.35,1226.75,1269.15,342259
AARTISURF,20210301,918.5,929.55,898.0,905.8,12679
AARVEEDEN,20210301,18.4,18.55,17.85,18.1,6825
AARVI,20210301,52.4,53.95,52.0,52.75,8917
AAVAS,20210301,2288.0,2288.0,2250.95,2264.75,43000
ABAN,20210301,41.2,42.35,38.35,38.35,579518
ABB,20210301,1547.0,1559.85,1515.0,1525.2,61354
ABBOTINDIA,20210301,14450.0,14520.0,14250.0,14497.75,19828
ABCAPITAL,20210301,124.3,130.7,122.5,129.7,12882971
ABFRL,20210301,186.05,196.9,182.45,192.85,7958240
ABMINTLTD,20210301,72.75,72.75,69.25,72.75,9133
ABSLBANETF,20210301,355.95,355.95,344.42,350.0,250
ABSLNN50ET,20210301,362.56,369.9,345.3,359.0,363
ACC,20210301,1754.4,1779.85,1725.7,1774.4,890744
ACCELYA,20210301,893.75,905.0,890.0,896.45,3350
ACCURACY,20210301,64.65,68.0,62.05,63.4,12591
ACE,20210301,161.95,161.95,155.0,155.25,170729
ACRYSIL,20210301,322.0,322.45,320.0,322.45,24773
ADANIENT,20210301,840.75,860.95,836.45,851.5,5996840
ADANIGREEN,20210301,1170.0,1170.0,1130.15,1141.0,448402
ADANIPORTS,20210301,684.6,704.65,673.3,692.9,11600468
ADANIPOWER,20210301,55.85,56.5,55.4,55.75,4632559
ADANITRANS,20210301,757.7,768.0,736.9,758.05,391954
ADFFOODS,20210301,837.8,839.0,810.5,821.1,17084
ADHUNIKIND,20210301,21.95,21.95,20.5,20.95,36863
ADL,20210301,31.65,31.65,29.3,31.15,3806
ADORWELD,20210301,323.9,323.9,312.9,315.25,21284
ADROITINFO,20210301,8.3,8.7,8.3,8.7,4010
ADSL,20210301,40.7,41.0,39.0,39.3,132179
ADVANIHOTR,20210301,52.0,52.4,50.6,52.35,7484
ADVENZYMES,20210301,358.0,365.1,344.0,348.0,277052
AEGISCHEM,20210301,313.0,322.85,313.0,322.2,667889
AFFLE,20210301,5330.0,5459.0,5225.0,5350.5,78483
AGARIND,20210301,151.95,157.0,146.05,152.15,11806
AGCNET,20210301,1016.1,1016.1,992.3,999.1,11301
AGRITECH,20210301,36.0,36.0,33.75,34.4,6463
AGROPHOS,20210301,13.2,13.25,12.75,12.8,49953
AHLADA,20210301,76.0,83.45,72.35,83.45,47617
AHLEAST,20210301,160.65,167.9,159.4,167.0,6235
AHLUCONT,20210301,291.4,301.0,289.5,297.35,24247
AHLWEST,20210301,243.5,243.5,240.0,240.35,522
AIAENG,20210301,1823.1,1835.0,1798.0,1808.0,49413
AIRAN,20210301,18.0,18.55,17.85,17.95,41594
AJANTPHARM,20210301,1757.55,1772.0,1682.3,1758.3,147812
AJMERA,20210301,129.0,129.55,127.25,127.8,32701
AKASH,20210301,239.0,239.0,228.15,231.45,17556
AKG,20210301,91.55,96.05,91.55,93.5,45510
AKSHARCHEM,20210301,241.0,244.5,235.8,239.85,33667
AKSHOPTFBR,20210301,6.85,7.1,6.75,6.85,212514
AKZOINDIA,20210301,2194.0,2194.0,2142.5,2146.25,30719
ALANKIT,20210301,16.2,16.45,15.9,16.0,100991
ALBERTDAVD,20210301,405.1,412.15,400.3,404.05,13537
ALCHEM,20210301,4.5,4.5,4.3,4.3,12234
ALEMBICLTD,20210301,103.4,103.4,101.0,101.6,220457
ALICON,20210301,418.55,446.05,384.3,435.6,21299
ALKALI,20210301,52.75,53.5,50.25,50.8,32610
ALKEM,20210301,2743.1,2855.0,2722.1,2827.3,75867
ALKYLAMINE,20210301,5089.9,5148.0,5056.0,5079.6,14190
ALLCARGO,20210301,130.7,130.7,128.2,128.75,165398
ALLSEC,20210301,351.3,357.95,342.15,346.4,6036
ALMONDZ,20210301,29.4,29.4,28.0,28.1,17516
ALOKINDS,20210301,19.95,19.95,19.65,19.65,7744360
ALPA,20210301,41.7,41.7,39.7,40.15,59401
ALPHAGEO,20210301,224.9,228.0,221.0,221.95,21050
ALPSINDUS,20210301,1.7,1.8,1.7,1.7,22740
AMARAJABAT,20210301,882.9,904.0,881.1,900.0,694023
AMBER,20210301,3281.0,3281.0,3161.0,3201.95,98156
AMBIKCO,20210301,998.0,1010.0,970.4,984.8,27971
AMBUJACEM,20210301,275.55,279.65,273.5,277.9,4095441
AMDIND,20210301,26.3,27.95,24.5,25.85,659514
AMJLAND,20210301,25.65,26.1,25.25,26.0,9858
AMRUTANJAN,20210301,548.55,560.05,545.05,547.8,32021
ANANTRAJ,20210301,52.0,52.0,50.65,52.0,1558992
ANDHRACEMT,20210301,5.65,5.7,5.55,5.6,217049
ANDHRAPAP,20210301,231.0,255.55,230.2,249.05,199423
ANDHRSUGAR,20210301,307.0,309.4,299.5,303.6,67752
ANGELBRKG,20210301,334.75,334.75,326.65,327.95,31062
ANIKINDS,20210301,17.25,17.9,16.65,17.15,27997
ANKITMETAL,20210301,1.1,1.15,1.1,1.15,72164
ANSALAPI,20210301,8.0,8.4,7.7,7.9,146735
ANSALHSG,20210301,6.5,6.5,6.05,6.15,56497
ANTGRAPHIC,20210301,0.45,0.55,0.45,0.55,235057
ANUP,20210301,650.8,654.85,637.4,639.65,56192
APARINDS,20210301,465.9,479.05,465.0,475.0,51419
APCL,20210301,209.85,215.9,207.45,211.8,92167
APCOTEXIND,20210301,177.0,189.85,174.05,184.8,352761
APEX,20210301,244.0,245.8,240.0,240.85,80321
APLAPOLLO,20210301,1125.0,1142.0,1051.25,1092.7,603703
APLLTD,20210301,910.1,938.95,908.3,924.25,444155
APOLLO,20210301,111.0,113.9,110.05,110.95,278391
APOLLOHOSP,20210301,3039.05,3098.0,3007.55,3081.15,678218
APOLLOPIPE,20210301,719.85,731.95,707.0,711.0,34320
APOLLOTYRE,20210301,235.0,248.8,235.0,244.85,14941186
APOLSINHOT,20210301,544.95,560.0,544.95,556.45,1087
APTECHT,20210301,221.1,234.0,219.2,230.1,451916
ARCHIDPLY,20210301,35.75,37.5,35.5,36.0,11192
ARCHIES,20210301,11.8,11.9,11.55,11.7,53862
ARCOTECH,20210301,2.1,2.1,2.1,2.1,44088
ARENTERP,20210301,11.6,12.35,11.6,11.7,3384
ARIES,20210301,90.0,101.7,89.0,97.4,184794
ARIHANT,20210301,22.85,23.3,22.65,23.0,1515
ARIHANTSUP,20210301,39.0,41.0,39.0,39.8,15193
ARMANFIN,20210301,624.0,630.4,572.3,591.75,52829
AROGRANITE,20210301,45.0,47.5,45.0,46.75,72790
ARROWGREEN,20210301,78.8,80.85,77.25,78.95,5952
ARSHIYA,20210301,35.95,36.05,33.25,36.05,123077
ARSSINFRA,20210301,22.0,24.95,22.0,24.45,32948
ARTEMISMED,20210301,240.5,240.5,226.0,226.4,3607
ARVIND,20210301,81.35,84.5,78.05,78.7,2210565
ARVINDFASN,20210301,159.9,162.0,157.0,158.0,174007
ARVSMART,20210301,99.0,103.15,98.85,100.75,215526
ASAHIINDIA,20210301,295.0,297.65,288.95,291.25,26607
ASAHISONG,20210301,280.2,285.65,275.2,281.7,25740
ASAL,20210301,38.0,38.0,37.1,37.65,4318
ASALCBR,20210301,359.7,359.7,350.15,352.65,41059
ASHAPURMIN,20210301,115.0,116.9,113.55,114.45,115408
ASHIANA,20210301,117.5,120.0,115.15,117.1,73519
ASHIMASYN,20210301,14.3,15.65,14.3,15.6,677576
ASHOKA,20210301,114.2,114.45,111.1,111.85,944045
ASHOKLEY,20210301,130.7,134.35,126.5,129.65,34897746
ASIANHOTNR,20210301,71.65,74.4,68.5,71.2,20747
ASIANPAINT,20210301,2300.0,2369.9,2300.0,2362.3,2545806
ASIANTILES,20210301,197.0,204.9,188.0,190.35,1298278
ASPINWALL,20210301,166.05,169.0,160.3,167.0,3476
ASTEC,20210301,1065.0,1066.7,1031.15,1035.9,18146
ASTERDM,20210301,148.7,148.7,143.0,143.35,135074
ASTRAL,20210301,2150.85,2220.0,2142.65,2196.9,116757
ASTRAMICRO,20210301,112.05,123.65,112.05,121.25,1828130
ASTRAZEN,20210301,3472.0,3500.0,3440.15,3455.85,22118
ASTRON,20210301,44.5,44.5,43.1,43.5,30323
ATFL,20210301,807.9,820.65,807.9,814.45,3685
ATGL,20210301,523.3,529.45,516.5,525.45,1103126
ATLANTA,20210301,8.45,8.45,8.0,8.1,10809
ATLASCYCLE,20210301,31.6,31.6,31.6,31.6,10856
ATUL,20210301,6595.0,6721.0,6554.3,6591.85,25829
ATULAUTO,20210301,193.65,218.9,193.65,206.95,1990169
AUBANK,20210301,1138.0,1165.05,1127.6,1148.45,754157
AURIONPRO,20210301,82.9,82.9,80.0,80.8,14870
AUROPHARMA,20210301,855.1,879.0,849.4,873.65,1653424
AUSOMENT,20210301,47.0,50.5,47.0,49.35,8943
AUTOAXLES,20210301,1159.4,1195.0,1159.4,1167.8,7485
AUTOIND,20210301,33.35,33.35,30.8,31.85,30632
AUTOLITIND,20210301,27.45,28.0,27.05,27.65,4236
AVADHSUGAR,20210301,194.9,199.7,190.35,194.9,120062
AVANTIFEED,20210301,486.0,486.0,477.1,484.8,135236
AVTNPL,20210301,44.1,45.2,44.1,44.65,70293
AWHCL,20210301,300.1,302.4,298.05,299.9,96865
AXISBANK,20210301,738.0,743.5,722.25,728.55,14301187
AXISBNKETF,20210301,352.81,354.76,349.95,352.67,917
AXISCADES,20210301,48.15,49.7,48.0,49.05,28778
AXISGOLD,20210301,40.17,40.4,39.65,40.07,304610
AXISNIFTY,20210301,153.75,158.8,152.51,153.93,3861
AYMSYNTEX,20210301,55.95,55.95,50.75,50.95,44054
BAFNAPH,20210301,121.55,126.45,118.1,120.75,2321
BAGFILMS,20210301,2.6,2.7,2.6,2.7,64457
BAJAJ-AUTO,20210301,3798.7,3858.8,3751.0,3814.05,724589
BAJAJCON,20210301,245.35,253.75,244.05,246.0,561101
BAJAJELEC,20210301,970.7,1008.0,965.0,990.1,278803
BAJAJFINSV,20210301,9799.0,9848.6,9613.7,9774.05,322437
BAJAJHIND,20210301,6.9,6.95,6.2,6.25,12881191
BAJAJHLDNG,20210301,3693.3,3693.3,3561.0,3594.1,76867
BAJFINANCE,20210301,5315.0,5369.9,5195.0,5266.8,2031881
BALAJITELE,20210301,59.7,62.4,59.05,60.35,373440
BALAMINES,20210301,1648.65,1695.0,1635.0,1685.3,138038
